Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
105b2a61-b592-43bf-b316-c2fc6ea2c0fc,Garmin Sleep Test,2bb4e22b-c056-4193-b277-735cad6b6f5b,A000

sleepSummaryId,timezoneOffsetInMs,unixTimestampInMs,isoDate,spo2
x5f7febc-69dbedc5-6c48,25200000,1776020940000,2026-04-13T02:09:00.000+07:00,93
x5f7febc-69dbedc5-6c48,25200000,1776021000000,2026-04-13T02:10:00.000+07:00,93
x5f7febc-69dbedc5-6c48,25200000,1776021060000,2026-04-13T02:11:00.000+07:00,90
x5f7febc-69dbedc5-6c48,25200000,1776021120000,2026-04-13T02:12:00.000+07:00,90
x5f7febc-69dbedc5-6c48,25200000,1776021180000,2026-04-13T02:13:00.000+07:00,91
x5f7febc-69dbedc5-6c48,25200000,1776021240000,2026-04-13T02:14:00.000+07:00,91
x5f7febc-69dbedc5-6c48,25200000,1776021300000,2026-04-13T02:15:00.000+07:00,92
x5f7febc-69dbedc5-6c48,25200000,1776021360000,2026-04-13T02:16:00.000+07:00,92
x5f7febc-69dbedc5-6c48,25200000,1776021420000,2026-04-13T02:17:00.000+07:00,91
x5f7febc-69dbedc5-6c48,25200000,1776021480000,2026-04-13T02:18:00.000+07:00,90
x5f7febc-69dbedc5-6c48,25200000,1776021540000,2026-04-13T02:19:00.000+07:00,91
x5f7febc-69dbedc5-6c48,25200000,1776021600000,2026-04-13T02:20:00.000+07:00,91
x5f7febc-69dbedc5-6c48,25200000,1776021660000,2026-04-13T02:21:00.000+07:00,91
x5f7febc-69dbedc5-6c48,25200000,1776021720000,2026-04-13T02:22:00.000+07:00,91
x5f7febc-69dbedc5-6c48,25200000,1776021780000,2026-04-13T02:23:00.000+07:00,91
x5f7febc-69dbedc5-6c48,25200000,1776021840000,2026-04-13T02:24:00.000+07:00,91
x5f7febc-69dbedc5-6c48,25200000,1776021900000,2026-04-13T02:25:00.000+07:00,91
x5f7febc-69dbedc5-6c48,25200000,1776021960000,2026-04-13T02:26:00.000+07:00,91
x5f7febc-69dbedc5-6c48,25200000,1776022020000,2026-04-13T02:27:00.000+07:00,96
x5f7febc-69dbedc5-6c48,25200000,1776022080000,2026-04-13T02:28:00.000+07:00,96
x5f7febc-69dbedc5-6c48,25200000,1776022140000,2026-04-13T02:29:00.000+07:00,96
x5f7febc-69dbedc5-6c48,25200000,1776022200000,2026-04-13T02:30:00.000+07:00,96
x5f7febc-69dbedc5-6c48,25200000,1776022260000,2026-04-13T02:31:00.000+07:00,96
x5f7febc-69dbedc5-6c48,25200000,1776022320000,2026-04-13T02:32:00.000+07:00,96
x5f7febc-69dbedc5-6c48,25200000,1776022380000,2026-04-13T02:33:00.000+07:00,96
x5f7febc-69dbedc5-6c48,25200000,1776022440000,2026-04-13T02:34:00.000+07:00,100
x5f7febc-69dbedc5-6c48,25200000,1776022500000,2026-04-13T02:35:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776022560000,2026-04-13T02:36:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776022620000,2026-04-13T02:37:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776022680000,2026-04-13T02:38:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776022740000,2026-04-13T02:39:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776022800000,2026-04-13T02:40:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776022860000,2026-04-13T02:41:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776022920000,2026-04-13T02:42:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776022980000,2026-04-13T02:43:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023040000,2026-04-13T02:44:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023100000,2026-04-13T02:45:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023160000,2026-04-13T02:46:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023220000,2026-04-13T02:47:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023280000,2026-04-13T02:48:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023340000,2026-04-13T02:49:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023400000,2026-04-13T02:50:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023460000,2026-04-13T02:51:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023520000,2026-04-13T02:52:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023580000,2026-04-13T02:53:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023640000,2026-04-13T02:54:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023700000,2026-04-13T02:55:00.000+07:00,99
x5f7febc-69dbedc5-6c48,25200000,1776023760000,2026-04-13T02:56:00.000+07:00,99
