Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
105b2a61-b592-43bf-b316-c2fc6ea2c0fc,Garmin Sleep Test,2bb4e22b-c056-4193-b277-735cad6b6f5b,A000

sleepSummaryId,timezoneOffsetInMs,unixTimestampInMs,isoDate,breathsPerMinute
x5f7febc-69d553f4-59ed,25200000,1775588400000,2026-04-08T02:00:00.000+07:00,17.41
x5f7febc-69d553f4-59ed,25200000,1775588460000,2026-04-08T02:01:00.000+07:00,15.33
x5f7febc-69d553f4-59ed,25200000,1775588520000,2026-04-08T02:02:00.000+07:00,15.91
x5f7febc-69d553f4-59ed,25200000,1775588580000,2026-04-08T02:03:00.000+07:00,17.5
x5f7febc-69d553f4-59ed,25200000,1775588640000,2026-04-08T02:04:00.000+07:00,20.66
x5f7febc-69d553f4-59ed,25200000,1775588700000,2026-04-08T02:05:00.000+07:00,18.83
x5f7febc-69d553f4-59ed,25200000,1775588760000,2026-04-08T02:06:00.000+07:00,16.25
x5f7febc-69d553f4-59ed,25200000,1775588820000,2026-04-08T02:07:00.000+07:00,17
x5f7febc-69d553f4-59ed,25200000,1775588880000,2026-04-08T02:08:00.000+07:00,17.08
x5f7febc-69d553f4-59ed,25200000,1775588940000,2026-04-08T02:09:00.000+07:00,15.66
x5f7febc-69d553f4-59ed,25200000,1775589000000,2026-04-08T02:10:00.000+07:00,17.08
x5f7febc-69d553f4-59ed,25200000,1775589060000,2026-04-08T02:11:00.000+07:00,17.5
x5f7febc-69d553f4-59ed,25200000,1775589120000,2026-04-08T02:12:00.000+07:00,17.91
x5f7febc-69d553f4-59ed,25200000,1775589180000,2026-04-08T02:13:00.000+07:00,17.66
x5f7febc-69d553f4-59ed,25200000,1775589240000,2026-04-08T02:14:00.000+07:00,17.5
x5f7febc-69d553f4-59ed,25200000,1775589300000,2026-04-08T02:15:00.000+07:00,16.91
x5f7febc-69d553f4-59ed,25200000,1775589360000,2026-04-08T02:16:00.000+07:00,16.83
x5f7febc-69d553f4-59ed,25200000,1775589420000,2026-04-08T02:17:00.000+07:00,18
x5f7febc-69d553f4-59ed,25200000,1775589480000,2026-04-08T02:18:00.000+07:00,17.41
x5f7febc-69d553f4-59ed,25200000,1775589540000,2026-04-08T02:19:00.000+07:00,17.33
x5f7febc-69d553f4-59ed,25200000,1775589600000,2026-04-08T02:20:00.000+07:00,17.83
x5f7febc-69d553f4-59ed,25200000,1775589660000,2026-04-08T02:21:00.000+07:00,19.25
x5f7febc-69d553f4-59ed,25200000,1775589720000,2026-04-08T02:22:00.000+07:00,19.08
x5f7febc-69d553f4-59ed,25200000,1775589780000,2026-04-08T02:23:00.000+07:00,18
x5f7febc-69d553f4-59ed,25200000,1775589840000,2026-04-08T02:24:00.000+07:00,18.66
x5f7febc-69d553f4-59ed,25200000,1775589900000,2026-04-08T02:25:00.000+07:00,19.08
x5f7febc-69d553f4-59ed,25200000,1775589960000,2026-04-08T02:26:00.000+07:00,18.33
x5f7febc-69d553f4-59ed,25200000,1775590020000,2026-04-08T02:27:00.000+07:00,18.41
x5f7febc-69d553f4-59ed,25200000,1775590080000,2026-04-08T02:28:00.000+07:00,18.75
x5f7febc-69d553f4-59ed,25200000,1775590140000,2026-04-08T02:29:00.000+07:00,18.09
x5f7febc-69d553f4-59ed,25200000,1775590200000,2026-04-08T02:30:00.000+07:00,16.08
x5f7febc-69d553f4-59ed,25200000,1775590260000,2026-04-08T02:31:00.000+07:00,17.5
x5f7febc-69d553f4-59ed,25200000,1775590320000,2026-04-08T02:32:00.000+07:00,17.08
x5f7febc-69d553f4-59ed,25200000,1775590380000,2026-04-08T02:33:00.000+07:00,16.08
x5f7febc-69d553f4-59ed,25200000,1775590440000,2026-04-08T02:34:00.000+07:00,16.91
x5f7febc-69d553f4-59ed,25200000,1775590560000,2026-04-08T02:36:00.000+07:00,16.33
x5f7febc-69d553f4-59ed,25200000,1775590620000,2026-04-08T02:37:00.000+07:00,15.25
x5f7febc-69d553f4-59ed,25200000,1775590680000,2026-04-08T02:38:00.000+07:00,15.83
x5f7febc-69d553f4-59ed,25200000,1775590740000,2026-04-08T02:39:00.000+07:00,17.08
x5f7febc-69d553f4-59ed,25200000,1775590800000,2026-04-08T02:40:00.000+07:00,17.08
x5f7febc-69d553f4-59ed,25200000,1775590860000,2026-04-08T02:41:00.000+07:00,18.58
x5f7febc-69d553f4-59ed,25200000,1775590920000,2026-04-08T02:42:00.000+07:00,17.58
x5f7febc-69d553f4-59ed,25200000,1775590980000,2026-04-08T02:43:00.000+07:00,18.66
x5f7febc-69d553f4-59ed,25200000,1775591040000,2026-04-08T02:44:00.000+07:00,17.41
x5f7febc-69d553f4-59ed,25200000,1775591100000,2026-04-08T02:45:00.000+07:00,17.5
x5f7febc-69d553f4-59ed,25200000,1775591160000,2026-04-08T02:46:00.000+07:00,16.66
x5f7febc-69d553f4-59ed,25200000,1775591220000,2026-04-08T02:47:00.000+07:00,16.91
x5f7febc-69d553f4-59ed,25200000,1775591280000,2026-04-08T02:48:00.000+07:00,18.08
x5f7febc-69d553f4-59ed,25200000,1775591340000,2026-04-08T02:49:00.000+07:00,16.08
x5f7febc-69d553f4-59ed,25200000,1775591400000,2026-04-08T02:50:00.000+07:00,16.25
x5f7febc-69d553f4-59ed,25200000,1775591460000,2026-04-08T02:51:00.000+07:00,17.08
x5f7febc-69d553f4-59ed,25200000,1775591520000,2026-04-08T02:52:00.000+07:00,17.25
x5f7febc-69d553f4-59ed,25200000,1775591580000,2026-04-08T02:53:00.000+07:00,18.33
x5f7febc-69d553f4-59ed,25200000,1775591640000,2026-04-08T02:54:00.000+07:00,17.33
x5f7febc-69d553f4-59ed,25200000,1775591700000,2026-04-08T02:55:00.000+07:00,16.5
x5f7febc-69d553f4-59ed,25200000,1775591760000,2026-04-08T02:56:00.000+07:00,17.08
x5f7febc-69d553f4-59ed,25200000,1775591820000,2026-04-08T02:57:00.000+07:00,18.41
x5f7febc-69d553f4-59ed,25200000,1775591880000,2026-04-08T02:58:00.000+07:00,16.75
x5f7febc-69d553f4-59ed,25200000,1775591940000,2026-04-08T02:59:00.000+07:00,15.08
x5f7febc-69d553f4-59ed,25200000,1775592000000,2026-04-08T03:00:00.000+07:00,17.08
x5f7febc-69d553f4-59ed,25200000,1775592060000,2026-04-08T03:01:00.000+07:00,15.58
x5f7febc-69d553f4-59ed,25200000,1775592120000,2026-04-08T03:02:00.000+07:00,17.08
x5f7febc-69d553f4-59ed,25200000,1775592180000,2026-04-08T03:03:00.000+07:00,17
x5f7febc-69d553f4-59ed,25200000,1775592240000,2026-04-08T03:04:00.000+07:00,17.83
x5f7febc-69d553f4-59ed,25200000,1775592300000,2026-04-08T03:05:00.000+07:00,18.25
x5f7febc-69d553f4-59ed,25200000,1775592360000,2026-04-08T03:06:00.000+07:00,18.33
x5f7febc-69d553f4-59ed,25200000,1775592420000,2026-04-08T03:07:00.000+07:00,19
x5f7febc-69d553f4-59ed,25200000,1775592480000,2026-04-08T03:08:00.000+07:00,18
x5f7febc-69d553f4-59ed,25200000,1775592540000,2026-04-08T03:09:00.000+07:00,18.25
x5f7febc-69d553f4-59ed,25200000,1775592600000,2026-04-08T03:10:00.000+07:00,18.16
x5f7febc-69d553f4-59ed,25200000,1775592660000,2026-04-08T03:11:00.000+07:00,18.91
x5f7febc-69d553f4-59ed,25200000,1775592720000,2026-04-08T03:12:00.000+07:00,18.5
x5f7febc-69d553f4-59ed,25200000,1775592780000,2026-04-08T03:13:00.000+07:00,20.91
x5f7febc-69d553f4-59ed,25200000,1775592840000,2026-04-08T03:14:00.000+07:00,17.58
x5f7febc-69d553f4-59ed,25200000,1775592900000,2026-04-08T03:15:00.000+07:00,14
x5f7febc-69d553f4-59ed,25200000,1775592960000,2026-04-08T03:16:00.000+07:00,16.91
x5f7febc-69d553f4-59ed,25200000,1775593020000,2026-04-08T03:17:00.000+07:00,14.08
x5f7febc-69d553f4-59ed,25200000,1775593080000,2026-04-08T03:18:00.000+07:00,15.91
x5f7febc-69d553f4-59ed,25200000,1775593140000,2026-04-08T03:19:00.000+07:00,16
x5f7febc-69d553f4-59ed,25200000,1775593200000,2026-04-08T03:20:00.000+07:00,18.54
x5f7febc-69d553f4-59ed,25200000,1775593260000,2026-04-08T03:21:00.000+07:00,17.5
x5f7febc-69d553f4-59ed,25200000,1775593320000,2026-04-08T03:22:00.000+07:00,15.2
x5f7febc-69d553f4-59ed,25200000,1775593380000,2026-04-08T03:23:00.000+07:00,15.75
x5f7febc-69d553f4-59ed,25200000,1775593440000,2026-04-08T03:24:00.000+07:00,16.83
x5f7febc-69d553f4-59ed,25200000,1775593500000,2026-04-08T03:25:00.000+07:00,16.16
x5f7febc-69d553f4-59ed,25200000,1775593560000,2026-04-08T03:26:00.000+07:00,18.5
x5f7febc-69d553f4-59ed,25200000,1775593620000,2026-04-08T03:27:00.000+07:00,16.83
x5f7febc-69d553f4-59ed,25200000,1775593680000,2026-04-08T03:28:00.000+07:00,16.25
x5f7febc-69d553f4-59ed,25200000,1775593740000,2026-04-08T03:29:00.000+07:00,16.5
x5f7febc-69d553f4-59ed,25200000,1775593800000,2026-04-08T03:30:00.000+07:00,16.5
x5f7febc-69d553f4-59ed,25200000,1775593860000,2026-04-08T03:31:00.000+07:00,17.66
x5f7febc-69d553f4-59ed,25200000,1775593920000,2026-04-08T03:32:00.000+07:00,17.83
x5f7febc-69d553f4-59ed,25200000,1775593980000,2026-04-08T03:33:00.000+07:00,19.33
x5f7febc-69d553f4-59ed,25200000,1775594040000,2026-04-08T03:34:00.000+07:00,16.5
x5f7febc-69d553f4-59ed,25200000,1775594100000,2026-04-08T03:35:00.000+07:00,16.41
x5f7febc-69d553f4-59ed,25200000,1775594160000,2026-04-08T03:36:00.000+07:00,17.25
x5f7febc-69d553f4-59ed,25200000,1775594220000,2026-04-08T03:37:00.000+07:00,19.25
x5f7febc-69d553f4-59ed,25200000,1775594280000,2026-04-08T03:38:00.000+07:00,17.83
x5f7febc-69d553f4-59ed,25200000,1775594340000,2026-04-08T03:39:00.000+07:00,18.58
x5f7febc-69d553f4-59ed,25200000,1775594400000,2026-04-08T03:40:00.000+07:00,17.25
x5f7febc-69d553f4-59ed,25200000,1775594460000,2026-04-08T03:41:00.000+07:00,16.33
x5f7febc-69d553f4-59ed,25200000,1775594520000,2026-04-08T03:42:00.000+07:00,17
x5f7febc-69d553f4-59ed,25200000,1775594580000,2026-04-08T03:43:00.000+07:00,17.41
x5f7febc-69d553f4-59ed,25200000,1775594640000,2026-04-08T03:44:00.000+07:00,16.75
x5f7febc-69d553f4-59ed,25200000,1775594700000,2026-04-08T03:45:00.000+07:00,17.25
x5f7febc-69d553f4-59ed,25200000,1775594760000,2026-04-08T03:46:00.000+07:00,17.08
x5f7febc-69d553f4-59ed,25200000,1775594820000,2026-04-08T03:47:00.000+07:00,16.25
x5f7febc-69d553f4-59ed,25200000,1775594880000,2026-04-08T03:48:00.000+07:00,17.16
x5f7febc-69d553f4-59ed,25200000,1775594940000,2026-04-08T03:49:00.000+07:00,17.33
x5f7febc-69d553f4-59ed,25200000,1775595000000,2026-04-08T03:50:00.000+07:00,16.33
x5f7febc-69d553f4-59ed,25200000,1775595060000,2026-04-08T03:51:00.000+07:00,17.33
x5f7febc-69d553f4-59ed,25200000,1775595120000,2026-04-08T03:52:00.000+07:00,16.75
x5f7febc-69d553f4-59ed,25200000,1775595180000,2026-04-08T03:53:00.000+07:00,15.72
x5f7febc-69d553f4-59ed,25200000,1775595240000,2026-04-08T03:54:00.000+07:00,13.91
x5f7febc-69d553f4-59ed,25200000,1775595300000,2026-04-08T03:55:00.000+07:00,17.75
x5f7febc-69d553f4-59ed,25200000,1775595360000,2026-04-08T03:56:00.000+07:00,14.5
x5f7febc-69d553f4-59ed,25200000,1775595420000,2026-04-08T03:57:00.000+07:00,15.83
x5f7febc-69d553f4-59ed,25200000,1775595480000,2026-04-08T03:58:00.000+07:00,15.83
x5f7febc-69d553f4-59ed,25200000,1775595540000,2026-04-08T03:59:00.000+07:00,14.08
x5f7febc-69d553f4-59ed,25200000,1775595600000,2026-04-08T04:00:00.000+07:00,16.66
x5f7febc-69d553f4-59ed,25200000,1775595660000,2026-04-08T04:01:00.000+07:00,16.16
x5f7febc-69d553f4-59ed,25200000,1775595720000,2026-04-08T04:02:00.000+07:00,13.66
x5f7febc-69d553f4-59ed,25200000,1775595780000,2026-04-08T04:03:00.000+07:00,15.5
x5f7febc-69d553f4-59ed,25200000,1775595840000,2026-04-08T04:04:00.000+07:00,14.66
x5f7febc-69d553f4-59ed,25200000,1775595900000,2026-04-08T04:05:00.000+07:00,16
x5f7febc-69d553f4-59ed,25200000,1775595960000,2026-04-08T04:06:00.000+07:00,14.66
x5f7febc-69d553f4-59ed,25200000,1775596020000,2026-04-08T04:07:00.000+07:00,15.16
x5f7febc-69d553f4-59ed,25200000,1775596080000,2026-04-08T04:08:00.000+07:00,16.91
x5f7febc-69d553f4-59ed,25200000,1775596140000,2026-04-08T04:09:00.000+07:00,16.75
