Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
105b2a61-b592-43bf-b316-c2fc6ea2c0fc,Garmin Sleep Test,2bb4e22b-c056-4193-b277-735cad6b6f5b,A000

sleepSummaryId,timezoneOffsetInMs,unixTimestampInMs,isoDate,durationInMs,type
x5f7febc-69c58b90-729c,25200000,1774554000000,2026-03-27T02:40:00.000+07:00,600000,light
x5f7febc-69c58b90-729c,25200000,1774554600000,2026-03-27T02:50:00.000+07:00,1620000,deep
x5f7febc-69c58b90-729c,25200000,1774556220000,2026-03-27T03:17:00.000+07:00,1680000,light
x5f7febc-69c58b90-729c,25200000,1774557900000,2026-03-27T03:45:00.000+07:00,1380000,rem
x5f7febc-69c58b90-729c,25200000,1774559280000,2026-03-27T04:08:00.000+07:00,480000,awake
x5f7febc-69c58b90-729c,25200000,1774559760000,2026-03-27T04:16:00.000+07:00,1200000,light
x5f7febc-69c58b90-729c,25200000,1774560960000,2026-03-27T04:36:00.000+07:00,2280000,deep
x5f7febc-69c58b90-729c,25200000,1774563240000,2026-03-27T05:14:00.000+07:00,2520000,light
x5f7febc-69c58b90-729c,25200000,1774565760000,2026-03-27T05:56:00.000+07:00,120000,awake
x5f7febc-69c58b90-729c,25200000,1774565880000,2026-03-27T05:58:00.000+07:00,2400000,light
x5f7febc-69c58b90-729c,25200000,1774568280000,2026-03-27T06:38:00.000+07:00,720000,rem
x5f7febc-69c58b90-729c,25200000,1774569000000,2026-03-27T06:50:00.000+07:00,180000,awake
x5f7febc-69c58b90-729c,25200000,1774569180000,2026-03-27T06:53:00.000+07:00,5580000,light
x5f7febc-69c58b90-729c,25200000,1774574760000,2026-03-27T08:26:00.000+07:00,1680000,rem
x5f7febc-69c58b90-729c,25200000,1774576440000,2026-03-27T08:54:00.000+07:00,60000,awake
x5f7febc-69c58b90-729c,25200000,1774576500000,2026-03-27T08:55:00.000+07:00,1140000,light
x5f7febc-69c58b90-729c,25200000,1774577640000,2026-03-27T09:14:00.000+07:00,1020000,awake
x5f7febc-69c58b90-729c,25200000,1774578660000,2026-03-27T09:31:00.000+07:00,2880000,light
x5f7febc-69c58b90-729c,25200000,1774581540000,2026-03-27T10:19:00.000+07:00,240000,awake
x5f7febc-69c58b90-729c,25200000,1774581780000,2026-03-27T10:23:00.000+07:00,540000,light
x5f7febc-69c58b90-729c,25200000,1774582320000,2026-03-27T10:32:00.000+07:00,600000,rem
x5f7febc-69c58b90-729c,25200000,1774582920000,2026-03-27T10:42:00.000+07:00,720000,light
x5f7febc-69c58b90-729c,25200000,1774583640000,2026-03-27T10:54:00.000+07:00,1800000,rem
