Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
105b2a61-b592-43bf-b316-c2fc6ea2c0fc,Garmin Sleep Test,2bb4e22b-c056-4193-b277-735cad6b6f5b,A000

hrvSummaryId,timezoneOffsetInMs,unixTimestampInMs,isoDate,hrv
x5f7febc-69dbedc5,25200000,1776021083000,2026-04-13T02:11:23.000+07:00,37
x5f7febc-69dbedc5,25200000,1776021383000,2026-04-13T02:16:23.000+07:00,49
x5f7febc-69dbedc5,25200000,1776021683000,2026-04-13T02:21:23.000+07:00,57
x5f7febc-69dbedc5,25200000,1776021983000,2026-04-13T02:26:23.000+07:00,53
x5f7febc-69dbedc5,25200000,1776022283000,2026-04-13T02:31:23.000+07:00,48
x5f7febc-69dbedc5,25200000,1776022583000,2026-04-13T02:36:23.000+07:00,50
x5f7febc-69dbedc5,25200000,1776022883000,2026-04-13T02:41:23.000+07:00,49
x5f7febc-69dbedc5,25200000,1776023183000,2026-04-13T02:46:23.000+07:00,48
x5f7febc-69dbedc5,25200000,1776023483000,2026-04-13T02:51:23.000+07:00,53
x5f7febc-69dbedc5,25200000,1776023783000,2026-04-13T02:56:23.000+07:00,56
x5f7febc-69dbedc5,25200000,1776024083000,2026-04-13T03:01:23.000+07:00,48
x5f7febc-69dbedc5,25200000,1776024383000,2026-04-13T03:06:23.000+07:00,52
x5f7febc-69dbedc5,25200000,1776024683000,2026-04-13T03:11:23.000+07:00,41
x5f7febc-69dbedc5,25200000,1776024983000,2026-04-13T03:16:23.000+07:00,41
x5f7febc-69dbedc5,25200000,1776025283000,2026-04-13T03:21:23.000+07:00,48
x5f7febc-69dbedc5,25200000,1776025583000,2026-04-13T03:26:23.000+07:00,49
x5f7febc-69dbedc5,25200000,1776025883000,2026-04-13T03:31:23.000+07:00,54
x5f7febc-69dbedc5,25200000,1776026183000,2026-04-13T03:36:23.000+07:00,53
x5f7febc-69dbedc5,25200000,1776026483000,2026-04-13T03:41:23.000+07:00,59
x5f7febc-69dbedc5,25200000,1776026783000,2026-04-13T03:46:23.000+07:00,53
x5f7febc-69dbedc5,25200000,1776027083000,2026-04-13T03:51:23.000+07:00,51
x5f7febc-69dbedc5,25200000,1776027383000,2026-04-13T03:56:23.000+07:00,51
x5f7febc-69dbedc5,25200000,1776027683000,2026-04-13T04:01:23.000+07:00,54
x5f7febc-69dbedc5,25200000,1776027983000,2026-04-13T04:06:23.000+07:00,46
x5f7febc-69dbedc5,25200000,1776028283000,2026-04-13T04:11:23.000+07:00,46
x5f7febc-69dbedc5,25200000,1776028583000,2026-04-13T04:16:23.000+07:00,56
x5f7febc-69dbedc5,25200000,1776028883000,2026-04-13T04:21:23.000+07:00,62
x5f7febc-69dbedc5,25200000,1776029183000,2026-04-13T04:26:23.000+07:00,57
x5f7febc-69dbedc5,25200000,1776029483000,2026-04-13T04:31:23.000+07:00,55
x5f7febc-69dbedc5,25200000,1776029783000,2026-04-13T04:36:23.000+07:00,61
x5f7febc-69dbedc5,25200000,1776030083000,2026-04-13T04:41:23.000+07:00,85
x5f7febc-69dbedc5,25200000,1776030383000,2026-04-13T04:46:23.000+07:00,65
x5f7febc-69dbedc5,25200000,1776030683000,2026-04-13T04:51:23.000+07:00,66
x5f7febc-69dbedc5,25200000,1776030983000,2026-04-13T04:56:23.000+07:00,73
x5f7febc-69dbedc5,25200000,1776031283000,2026-04-13T05:01:23.000+07:00,70
x5f7febc-69dbedc5,25200000,1776031583000,2026-04-13T05:06:23.000+07:00,74
x5f7febc-69dbedc5,25200000,1776031883000,2026-04-13T05:11:23.000+07:00,61
x5f7febc-69dbedc5,25200000,1776032183000,2026-04-13T05:16:23.000+07:00,89
x5f7febc-69dbedc5,25200000,1776032483000,2026-04-13T05:21:23.000+07:00,60
x5f7febc-69dbedc5,25200000,1776032783000,2026-04-13T05:26:23.000+07:00,61
x5f7febc-69dbedc5,25200000,1776033083000,2026-04-13T05:31:23.000+07:00,65
x5f7febc-69dbedc5,25200000,1776033383000,2026-04-13T05:36:23.000+07:00,69
x5f7febc-69dbedc5,25200000,1776033683000,2026-04-13T05:41:23.000+07:00,69
x5f7febc-69dbedc5,25200000,1776033983000,2026-04-13T05:46:23.000+07:00,72
x5f7febc-69dbedc5,25200000,1776034283000,2026-04-13T05:51:23.000+07:00,70
x5f7febc-69dbedc5,25200000,1776034583000,2026-04-13T05:56:23.000+07:00,78
x5f7febc-69dbedc5,25200000,1776034883000,2026-04-13T06:01:23.000+07:00,67
x5f7febc-69dbedc5,25200000,1776035183000,2026-04-13T06:06:23.000+07:00,86
x5f7febc-69dbedc5,25200000,1776035483000,2026-04-13T06:11:23.000+07:00,96
x5f7febc-69dbedc5,25200000,1776035783000,2026-04-13T06:16:23.000+07:00,94
x5f7febc-69dbedc5,25200000,1776036083000,2026-04-13T06:21:23.000+07:00,81
x5f7febc-69dbedc5,25200000,1776036383000,2026-04-13T06:26:23.000+07:00,44
x5f7febc-69dbedc5,25200000,1776036683000,2026-04-13T06:31:23.000+07:00,45
x5f7febc-69dbedc5,25200000,1776036983000,2026-04-13T06:36:23.000+07:00,57
x5f7febc-69dbedc5,25200000,1776037283000,2026-04-13T06:41:23.000+07:00,61
x5f7febc-69dbedc5,25200000,1776037583000,2026-04-13T06:46:23.000+07:00,53
x5f7febc-69dbedc5,25200000,1776037883000,2026-04-13T06:51:23.000+07:00,62
x5f7febc-69dbedc5,25200000,1776038183000,2026-04-13T06:56:23.000+07:00,70
x5f7febc-69dbedc5,25200000,1776038483000,2026-04-13T07:01:23.000+07:00,76
x5f7febc-69dbedc5,25200000,1776038783000,2026-04-13T07:06:23.000+07:00,70
x5f7febc-69dbedc5,25200000,1776039083000,2026-04-13T07:11:23.000+07:00,69
x5f7febc-69dbedc5,25200000,1776039383000,2026-04-13T07:16:23.000+07:00,82
x5f7febc-69dbedc5,25200000,1776039683000,2026-04-13T07:21:23.000+07:00,88
x5f7febc-69dbedc5,25200000,1776039983000,2026-04-13T07:26:23.000+07:00,94
x5f7febc-69dbedc5,25200000,1776040283000,2026-04-13T07:31:23.000+07:00,77
x5f7febc-69dbedc5,25200000,1776040583000,2026-04-13T07:36:23.000+07:00,65
x5f7febc-69dbedc5,25200000,1776040883000,2026-04-13T07:41:23.000+07:00,87
x5f7febc-69dbedc5,25200000,1776041183000,2026-04-13T07:46:23.000+07:00,92
x5f7febc-69dbedc5,25200000,1776041483000,2026-04-13T07:51:23.000+07:00,80
x5f7febc-69dbedc5,25200000,1776041783000,2026-04-13T07:56:23.000+07:00,77
x5f7febc-69dbedc5,25200000,1776042083000,2026-04-13T08:01:23.000+07:00,79
x5f7febc-69dbedc5,25200000,1776042383000,2026-04-13T08:06:23.000+07:00,82
x5f7febc-69dbedc5,25200000,1776042683000,2026-04-13T08:11:23.000+07:00,68
x5f7febc-69dbedc5,25200000,1776042983000,2026-04-13T08:16:23.000+07:00,69
x5f7febc-69dbedc5,25200000,1776043283000,2026-04-13T08:21:23.000+07:00,43
x5f7febc-69dbedc5,25200000,1776043583000,2026-04-13T08:26:23.000+07:00,47
x5f7febc-69dbedc5,25200000,1776043883000,2026-04-13T08:31:23.000+07:00,45
x5f7febc-69dbedc5,25200000,1776044183000,2026-04-13T08:36:23.000+07:00,51
x5f7febc-69dbedc5,25200000,1776044483000,2026-04-13T08:41:23.000+07:00,70
x5f7febc-69dbedc5,25200000,1776044783000,2026-04-13T08:46:23.000+07:00,64
x5f7febc-69dbedc5,25200000,1776045083000,2026-04-13T08:51:23.000+07:00,74
x5f7febc-69dbedc5,25200000,1776045383000,2026-04-13T08:56:23.000+07:00,71
x5f7febc-69dbedc5,25200000,1776045683000,2026-04-13T09:01:23.000+07:00,73
x5f7febc-69dbedc5,25200000,1776045983000,2026-04-13T09:06:23.000+07:00,74
x5f7febc-69dbedc5,25200000,1776046283000,2026-04-13T09:11:23.000+07:00,83
x5f7febc-69dbedc5,25200000,1776046583000,2026-04-13T09:16:23.000+07:00,86
x5f7febc-69dbedc5,25200000,1776046883000,2026-04-13T09:21:23.000+07:00,71
x5f7febc-69dbedc5,25200000,1776047183000,2026-04-13T09:26:23.000+07:00,73
x5f7febc-69dbedc5,25200000,1776047483000,2026-04-13T09:31:23.000+07:00,79
x5f7febc-69dbedc5,25200000,1776047783000,2026-04-13T09:36:23.000+07:00,89
x5f7febc-69dbedc5,25200000,1776048083000,2026-04-13T09:41:23.000+07:00,78
x5f7febc-69dbedc5,25200000,1776048383000,2026-04-13T09:46:23.000+07:00,57
x5f7febc-69dbedc5,25200000,1776048683000,2026-04-13T09:51:23.000+07:00,59
x5f7febc-69dbedc5,25200000,1776048983000,2026-04-13T09:56:23.000+07:00,71
x5f7febc-69dbedc5,25200000,1776049283000,2026-04-13T10:01:23.000+07:00,71
